filename,width,height,class,xmin,ymin,xmax,ymax
CAR00215_jpg.rf.2b5eaf0e7bef7009df2eb8d86e649133.jpg,640,640,gun,48,447,181,553
armas_3316_jpg.rf.2ba6005ccbc9ee86f9a3ad65f5547937.jpg,640,640,gun,383,172,483,269
pistol_441_jpg.rf.2b9d50de30430c0dcec4e470604ec379.jpg,640,640,gun,400,515,414,560
armas_180_jpg.rf.2bb0d36261fca9c2176114f56271beea.jpg,640,640,gun,0,196,252,572
armas_1246_jpg.rf.2b5eb879b08c9e5912d9511031cfdad7.jpg,640,640,gun,259,169,526,526
pistol_2077_jpg.rf.2b75808c2636db18e13dc1f98bd068f2.jpg,640,640,gun,215,379,227,404
pistol_1466_jpg.rf.2c137c929f212e2279e2a529da866fd6.jpg,640,640,gun,90,322,98,353
pistol_625_jpg.rf.2b6f517b13f52c6be7eae2dfa7b3fc92.jpg,640,640,gun,467,275,494,311
pistol_1744_jpg.rf.2ba738a385bd34db88d81103326ad982.jpg,640,640,gun,163,520,179,578
pistol_2509_jpg.rf.2bdebfe621ca586208e5221821eae669.jpg,640,640,gun,264,381,295,438
pistol_2709_jpg.rf.2c1ce082a5f0503c64b2ed9d95deecc2.jpg,640,640,gun,243,311,262,332
armas_3069_jpg.rf.2b795fec6949e03cc673ac42da580921.jpg,640,640,gun,327,229,526,363
armas_3457_jpg.rf.2c2b9e6c8f6ed62a4e2e3ffbaac07076.jpg,640,640,gun,83,12,324,216
armas_3457_jpg.rf.2c2b9e6c8f6ed62a4e2e3ffbaac07076.jpg,640,640,gun,210,115,488,425
CA00032_jpg.rf.2b4cc1e071ec322b4b208a64271e5d12.jpg,640,640,gun,486,149,583,279
pistol_784_jpg.rf.2c5c9b2de0e9497d10874b02e8ef4fc8.jpg,640,640,gun,196,240,224,276
pistol_1145_jpg.rf.2b4518f8774aafc2c2f5eabe175ddae5.jpg,640,640,gun,416,227,452,272
armas_1006_jpg.rf.2b920bc238df4446bd7b39376e050175.jpg,640,640,gun,6,14,626,628
pistol_1464_jpg.rf.2bc851b1edb4447f06bcb39b2f2d8580.jpg,640,640,gun,138,367,148,406
armas_2692_jpg.rf.2bc433755c4ea92a8271127ceea85316.jpg,640,640,gun,203,72,556,558
armas_2614_jpg.rf.2b6de795e296d4f450427626adedda9c.jpg,640,640,gun,64,72,562,637
pistol_2694_jpg.rf.2c65c7922901774814f95904b216915e.jpg,640,640,gun,172,291,186,304
armas_2057_jpg.rf.2bb274f3fe91a8e7b671d6bb66e442d8.jpg,640,640,gun,151,93,338,266
pistol_1430_jpg.rf.2bdcb86b5fc773d730f2fb4ed1188e15.jpg,640,640,gun,384,192,397,230
pistol_427_jpg.rf.2bd1e8f6a6548cabb25333d20deefcd2.jpg,640,640,gun,141,532,154,589
armas_3314_jpg.rf.2c897acea390a6bbc5f71a1d915f5f79.jpg,640,640,gun,322,150,458,440
armas_2605_jpg.rf.2c93086d2b5af3c912c445e7c05dfddb.jpg,640,640,gun,17,5,602,621
pistol_766_jpg.rf.2cd3cdffaaac423420e074faf33e8130.jpg,640,640,gun,251,198,282,242
armas_984_jpg.rf.2d12d39c710acfa28e0b3552866cd9a7.jpg,640,640,gun,450,154,526,267
CAR00730_jpg.rf.2d1294bb02e09299b353915be27cf641.jpg,640,640,gun,45,173,129,221
CAR00479_jpg.rf.2d1cfcd6e0fdc97772d0bbd76b5c16fd.jpg,640,640,gun,493,159,593,215
armas_3032_jpg.rf.2d5629c5288137db25b8feacedee2589.jpg,640,640,gun,40,31,605,591
CA00221_jpg.rf.2cb25ab5e532a89fb98159b7c0faa779.jpg,640,640,gun,197,395,343,515
armas_426_jpg.rf.2d312deec37814bc2e1ffa024d3f4cc9.jpg,640,640,gun,6,4,619,611
armas_581_jpg.rf.2cde3d02d8623d426716f15f8e525e05.jpg,640,640,gun,162,233,272,386
armas_581_jpg.rf.2cde3d02d8623d426716f15f8e525e05.jpg,640,640,gun,373,244,509,438
armas_767_jpg.rf.2d638ea3a9003d297b1351dcf50d0a56.jpg,640,640,gun,206,349,297,510
pistol_2746_jpg.rf.2d76afc466b574bf2b1196017ead1711.jpg,640,640,gun,243,178,255,194
pistol_379_jpg.rf.2d5a9c11209231a4e026895884e87bce.jpg,640,640,gun,398,492,430,542
pistol_532_jpg.rf.2d7f119772ba36b9967fda6221af3ff7.jpg,640,640,gun,170,192,191,230
